"ID","PeopleID","ProductionID","RoleID","subRole","SystemID","timestamp"
327,4781,513,1748,"",2,2021-01-31 08:40:03.000
328,4783,513,1749,"",2,2021-01-31 08:40:04.000
329,4783,513,1749,"",2,2021-01-31 08:40:04.000
330,4784,513,1750,"",2,2021-01-31 08:40:05.000
331,4784,513,1750,"",2,2021-01-31 08:40:05.000
332,4785,513,1751,"",2,2021-01-31 08:40:05.000
333,4785,513,1751,"",2,2021-01-31 08:40:05.000
334,4786,513,1703,"",2,2021-01-31 08:40:06.000
335,4786,513,1703,"",2,2021-01-31 08:40:06.000
336,4787,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
337,4787,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
338,4781,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
339,4781,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
340,4788,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
341,4788,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
342,4789,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
343,4789,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
344,4790,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
345,4790,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
346,4791,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
347,4791,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
348,4792,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
349,4792,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
350,4793,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
351,4793,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
352,4794,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
353,4794,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
354,4795,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
355,4795,513,1695,Πρωταγωνιστούν αλφαβητικά,2,2023-09-25 13:21:46.000
356,4797,514,1695,Κείμενο Σκηνοθεσία,2,2023-09-25 13:21:46.000
357,4797,514,1695,Κείμενο Σκηνοθεσία,2,2023-09-25 13:21:46.000
358,4798,514,1695,Ερμηνεύουν,2,2021-01-31 08:40:29.000
359,4798,514,1695,Ερμηνεύουν,2,2021-01-31 08:40:29.000
360,4799,514,1695,Ερμηνεύουν,2,2021-01-31 08:40:30.000
361,4799,514,1695,Ερμηνεύουν,2,2021-01-31 08:40:30.000
362,4801,514,1695,Σκηνικό,2,2021-01-31 08:40:33.000
363,4801,514,1695,Σκηνικό,2,2021-01-31 08:40:33.000
364,4802,514,1695,Κουστούμια,2,2021-01-31 08:40:33.000
365,4802,514,1695,Κουστούμια,2,2021-01-31 08:40:33.000
366,4804,514,1695,Μουσική επιμέλεια,2,2021-01-31 08:40:34.000
367,4804,514,1695,Μουσική επιμέλεια,2,2021-01-31 08:40:34.000
368,4805,514,1695,Μουσική σύνθεση τραγουδιού,2,2021-01-31 08:40:35.000
369,4805,514,1695,Μουσική σύνθεση τραγουδιού,2,2021-01-31 08:40:35.000
370,4806,514,1695,Στίχοι,2,2021-01-31 08:40:35.000
371,4806,514,1695,Στίχοι,2,2021-01-31 08:40:35.000
372,4807,514,1695,Φωτογραφίες,2,2021-01-31 08:40:36.000
373,4807,514,1695,Φωτογραφίες,2,2021-01-31 08:40:36.000
374,4808,514,1695,Κινηματογράφηση,2,2021-01-31 08:40:37.000
375,4808,514,1695,Κινηματογράφηση,2,2021-01-31 08:40:37.000
