"ID","Role","SystemID","timestamp"
1924,Σκηνοθεσία-Μουσική,2,2021-03-31 14:47:39.000
1925,Μοντάζ τηλεσκηνοθεσία,2,2021-03-31 14:47:40.000
1926,Ηair and makeup artist,2,2021-03-31 14:47:42.000
1927,Φωτογράφιση,2,2021-03-31 14:47:44.000
1928,Σκηνικά αντικείμενα,2,2021-03-31 14:50:22.000
1929,Βοηθός σκηνής,2,2021-03-31 14:50:23.000
1930,Δημιουργία αφίσας,2,2021-03-31 14:50:24.000
1931,Δημιουργία trailer,2,2021-03-31 14:50:25.000
1932,Σύλληψη ιδέας – σκηνοθεσία – ερμηνεία,2,2021-03-31 14:52:27.000
1933,Σκηνικά – κοστούμια – εικαστική σύνθεση,2,2021-03-31 14:52:28.000
1934,επιμέλεια,2,2023-09-25 13:21:50.000
1935,Κατασκευή Σκηνικού,2,2021-03-31 14:52:51.000
1936,Μουσική Παραγωγή-miximastering,2,2021-03-31 14:52:53.000
1937,Πίσω από τη σκηνή σε όλους τους ρόλους (φωνές & μιμήσεις),2,2021-03-31 14:53:07.000
1938,Για τις ηχογραφήσεις των δημοτικών τραγουδιών και αμανέδων,2,2021-03-31 14:53:18.000
1939,Πνευστά,2,2021-03-31 14:53:19.000
1940,Επιμέλεια ήχου,2,2021-03-31 14:53:20.000
1941,Κάμερα – Μοντάζ,2,2021-03-31 14:53:22.000
1942,Διεύθυνση Θεάτρου,2,2021-03-31 14:53:23.000
1943,Σκηνικά -Κοστούμια,2,2021-03-31 14:54:20.000
1944,Στην παράσταση παίζουν οι ηθοποιοί,2,2021-03-31 14:54:39.000
1945,Εκτέλεση παραγωγής,2,2021-03-31 15:03:14.000
1946,Μετάφραση – Σκηνοθεσία,2,2023-09-25 13:21:50.000
1947,Νυφικό κυρίας Ζούνη,2,2023-09-25 13:21:50.000
1948,Filming & Video Editing,2,2021-05-08 17:21:19.000
1949,Photos,2,2021-05-08 17:21:20.000
1950,Production,2,2021-05-08 17:21:21.000
1951,Απόδοση - Δραματουργία,2,2021-05-08 17:21:34.000
1952,Συνεργάτις Δραματουργός,2,2021-05-08 17:21:35.000
1953,Πρόζοροφ Ανδρέας,2,2021-05-08 17:21:37.000
1954,Ναταλία,2,2021-05-08 17:21:38.000
1955,Όλγα,2,2021-05-08 17:21:38.000
1956,Μάσα,2,2021-05-08 17:21:39.000
1957,Ειρήνη,2,2021-05-08 17:21:40.000
1958,Κουλίγκιν Θόδωρος,2,2021-05-08 17:21:40.000
1959,Βερσίνιν Αλέξανδρος,2,2021-05-08 17:21:41.000
1960,Τούζενμπαχ,2,2021-05-08 17:21:41.000
1961,Σολιόνι,2,2021-05-08 17:21:42.000
1962,Τσεμπουτίκιν,2,2021-05-08 17:21:43.000
1963,Φεντότικ,2,2021-05-08 17:21:43.000
1964,Ροντέ,2,2021-05-08 17:21:44.000
1965,Φεραπόντ,2,2021-05-08 17:21:45.000
1966,Ανφίσα,2,2021-05-08 17:21:45.000
1967,Φωτισμοί-Ηχοληψία,2,2021-05-08 17:22:00.000
1968,Πρωτότυπη μουσική σύνθεση,2,2021-05-08 17:22:16.000
1969,Χορογραφίες - Κίνηση,2,2021-05-08 17:22:18.000
1970,Διανομή Μεταξία,2,2021-05-08 17:22:37.000
1971,Σκηνοθεσία – Δραματουργική επεξεργασία,2,2021-05-08 17:22:38.000
1972,Βοηθός Σκηνοθέτις,2,2021-05-08 17:22:39.000
1973,Μετάφραση στην Αγγλική γλώσσα,2,2021-05-08 17:22:40.000
1974,Επιμέλεια μετάφρασης,2,2021-05-08 17:22:41.000
